channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,gradient_accepted_frames,conditioned_accepted_steps,conditioned_rejected_steps,selection_reasons
red4,2,confirm,0,profiled_cz,512,0,0.5,5,10,10,0,6,60,10,3656,0,0.0,219360,44477,0.20275802334062729,0,0.9956951107666668,0.0,0,0,0,crc_fallback:60
red4,2,confirm,0,profiled_cz,512,0,0.5,5,10,10,0,7,60,10,3656,1,0.016666666666666666,219360,42354,0.19307986870897156,0,1.0673170628666664,63.47222222222222,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red4,2,confirm,0,profiled_cz,512,0,0.5,5,10,8,0,6,60,10,3656,2,0.03333333333333333,219360,33604,0.15319110138584974,0,0.9774644976166665,126.94444444444444,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red4,2,confirm,0,profiled_cz,512,0,0.5,5,10,8,0,7,60,10,3656,3,0.05,219360,34414,0.15688366156090444,0,0.7847737379499999,190.41666666666666,1,0,0,crc_fallback:57;crc_rescue:1;lite_crc_valid_skip:2
red4,2,confirm,0,profiled_cz,512,64,0.5,5,10,10,0,6,60,9,3288,1,0.016666666666666666,197280,37774,0.19147404703974047,0,0.9516790110833333,56.689655172413794,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red4,2,confirm,0,profiled_cz,512,64,0.5,5,10,10,0,7,60,9,3288,1,0.016666666666666666,197280,37900,0.19211273317112734,0,0.9619081945833334,56.689655172413794,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red4,2,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,6,60,5,3656,9,0.15,219360,25676,0.11704959883296863,0,0.9286119523833334,566.3339070567986,1,0,0,crc_fallback:51;crc_rescue:1;lite_crc_valid_skip:8
red4,2,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,7,60,5,3656,12,0.2,219360,26344,0.1200948212983224,0,0.9061393049333334,755.1118760757315,0,0,0,crc_fallback:48;lite_crc_valid_skip:12
red4,3,confirm,0,profiled_cz,512,0,0.5,5,10,10,0,6,60,10,3656,0,0.0,219360,42116,0.19199489423778265,0,0.9938425928999999,0.0,0,0,0,crc_fallback:60
red4,3,confirm,0,profiled_cz,512,0,0.5,5,10,10,0,7,60,10,3656,0,0.0,219360,41104,0.187381473377097,0,0.9014359803499998,0.0,0,0,0,crc_fallback:60
red4,3,confirm,0,profiled_cz,512,16,0.5,5,10,10,0,6,60,10,3656,1,0.016666666666666666,219360,37191,0.16954321663019695,0,0.8812042180000003,62.389078498293514,1,0,0,crc_fallback:59;crc_rescue:1
red4,3,confirm,0,profiled_cz,512,16,0.5,5,10,10,0,7,60,10,3656,0,0.0,219360,39479,0.1799735594456601,0,0.8480863093666666,0.0,0,0,0,crc_fallback:60
red4,3,confirm,0,profiled_cz,512,0,0.5,5,8,10,0,6,60,10,3554,1,0.016666666666666666,213240,38576,0.18090414556368412,0,0.8181606343500001,61.701388888888886,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red4,3,confirm,0,profiled_cz,512,0,0.5,5,8,10,0,7,60,10,3554,2,0.03333333333333333,213240,38866,0.18226411555055336,0,0.5974697225333332,123.40277777777777,0,0,0,crc_fallback:58;lite_crc_valid_skip:2
red4,3,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,6,60,5,3656,17,0.2833333333333333,219360,23967,0.10925875273522975,0,0.3458687115333333,1069.7418244406197,0,0,0,crc_fallback:43;lite_crc_valid_skip:17
red4,3,confirm,0,profiled_cz,1024,16,0.5,5,10,10,0,7,60,5,3656,16,0.26666666666666666,219360,22910,0.10444018964259665,0,0.3451307103833334,1006.815834767642,0,0,0,crc_fallback:44;lite_crc_valid_skip:16
